1,0.80,0.71,0.75,0.40, 20,0.80,10,0.85,0.90,0.79,0.50,6
2,0.90,0.79,0.85,0.45, 30,0.90,15,0.95,0.95,0.83,0.55,5
3,0.90,0.79,0.85,0.45, 40,0.90,20,0.95,0.95,0.83,0.55,4
3,0.90,0.79,0.85,0.45, 40,0.90,20,0.95,0.95,0.83,0.55,3
4,1.00,0.87,0.95,0.50, 40,1.00,20,1.05,1.00,0.87,0.60,2
4,1.00,0.87,0.95,0.50, 50,1.00,25,1.05,1.00,0.87,0.60,5
5,1.00,0.87,0.95,0.50, 50,1.00,25,1.05,1.00,0.87,0.60,2
5,1.00,0.87,0.95,0.50, 50,1.00,25,1.05,1.00,0.87,0.60,2
6,1.00,0.87,0.95,0.50, 60,1.00,30,1.05,1.00,0.87,0.60,1
6,1.00,0.87,0.95,0.50, 60,1.00,30,1.05,1.00,0.87,0.60,5
7,1.00,0.87,0.95,0.50, 60,1.00,30,1.05,1.00,0.87,0.60,2
7,1.00,0.87,0.95,0.50, 80,1.00,40,1.05,1.00,0.87,0.60,1
8,1.00,0.87,0.95,0.50, 80,1.00,40,1.05,1.00,0.87,0.60,1
8,1.00,0.87,0.95,0.50, 80,1.00,40,1.05,1.00,0.87,0.60,3
8,1.00,0.87,0.95,0.50,100,1.00,50,1.05,1.00,0.87,0.60,1
8,1.00,0.87,0.95,0.50,100,1.00,50,1.05,1.00,0.87,0.60,1
8,1.00,0.87,0.95,0.50,100,1.00,50,1.05,null,null,null,0
8,1.00,0.87,0.95,0.50,100,1.00,50,1.05,1.00,0.87,0.60,1
8,1.00,0.87,0.95,0.50,120,1.00,60,1.05,null,null,null,0
8,1.00,0.87,0.95,0.50,120,1.00,60,1.05,null,null,null,0
8,0.90,0.79,0.95,0.50,120,1.00,60,1.05,null,null,null,0

 1,7,20,7,20,5,20,5,1
 4,7,20,7,20,5, 1
-1,5,20,5,20,5, 1
